Date,Settle,Volume
1/24/2017,9.93,621
1/23/2017,9.8,183
1/20/2017,9.82,115
1/19/2017,9.835,304
1/18/2017,9.92,325
1/17/2017,9.95,707
1/13/2017,9.65,19
1/12/2017,9.77,35
1/11/2017,9.39,4
1/10/2017,9.455,22
1/9/2017,9.46,15
1/6/2017,9.44,2
1/5/2017,9.51,20
1/4/2017,9.495,42
1/3/2017,9.365,56
12/30/2016,9.355,124
12/29/2016,9.24,1124
12/28/2016,9.25,848
12/27/2016,9.3,1224
12/23/2016,9.21,412
12/22/2016,9.285,979
12/21/2016,9.365,776
12/20/2016,9.46,1285
12/19/2016,9.475,1037
12/16/2016,9.48,1219
12/15/2016,9.465,1460
12/14/2016,9.705,1427
12/13/2016,9.785,860
12/12/2016,9.855,462
12/9/2016,9.92,1010
12/8/2016,9.77,380
12/7/2016,9.93,706
12/6/2016,9.96,476
12/5/2016,9.985,882
12/2/2016,9.625,351
12/1/2016,9.72,636
11/30/2016,9.705,506
11/29/2016,9.535,501
11/28/2016,9.585,256
11/25/2016,9.625,197
11/23/2016,9.535,274
11/22/2016,9.56,371
11/21/2016,9.81,330
11/18/2016,9.635,278
11/17/2016,9.51,583
11/16/2016,9.695,469
11/15/2016,9.39,484
11/14/2016,9.125,22
11/11/2016,9.485,130
11/10/2016,9.59,80
11/9/2016,9.47,3
11/8/2016,9.515,28
11/7/2016,9.58,18
11/4/2016,9.64,154
11/3/2016,9.545,65
11/2/2016,9.445,202
11/1/2016,9.605,199
10/31/2016,9.855,221
10/28/2016,9.87,1688
10/27/2016,10.145,1095
10/26/2016,9.995,1066
10/25/2016,9.835,954
10/24/2016,9.85,1424
10/21/2016,10.29,1310
10/20/2016,10.325,1148
10/19/2016,10.405,953
10/18/2016,10.42,1023
10/17/2016,10.405,1098
10/14/2016,10.16,812
10/13/2016,10.23,663
10/12/2016,10.18,1050
10/11/2016,10.395,917
10/10/2016,10.235,356
10/7/2016,10.095,274
10/6/2016,10.11,253
10/5/2016,10.04,260
10/4/2016,10.095,488
10/3/2016,10.065,959
9/30/2016,9.885,444
9/29/2016,9.77,471
9/28/2016,9.74,395
9/27/2016,9.78,211
9/26/2016,9.675,249
9/23/2016,9.65,202
9/22/2016,9.66,179
9/21/2016,9.675,325
9/20/2016,9.895,283
9/19/2016,9.76,162
9/16/2016,9.815,162
9/15/2016,9.79,293
9/14/2016,9.58,276
9/13/2016,9.38,40
9/12/2016,9.505,134
9/9/2016,9.29,0
9/8/2016,9.305,337
9/7/2016,9.335,2
9/6/2016,9.385,0
9/2/2016,9.56,29
9/1/2016,9.205,36
8/31/2016,9.195,164
8/30/2016,9.28,1005
8/29/2016,9.47,376
8/26/2016,9.73,598
8/25/2016,9.785,418
8/24/2016,10.08,823
8/23/2016,10.305,552
8/22/2016,10.475,752
8/19/2016,10.255,859
8/18/2016,10.22,1199
8/17/2016,10.225,870
8/16/2016,10.435,1235
8/15/2016,10.245,1249
8/12/2016,9.655,553
8/11/2016,9.315,842
8/10/2016,9.52,472
8/9/2016,9.7,654
8/8/2016,9.66,790
8/5/2016,9.305,377
8/4/2016,9.325,919
8/3/2016,9.545,330
8/2/2016,9.565,715
8/1/2016,9.685,824
7/29/2016,9.94,687
7/28/2016,9.77,632
7/27/2016,9.825,1097
7/26/2016,10.025,696
7/25/2016,10.36,251
7/22/2016,10.405,396
7/21/2016,10.61,249
7/20/2016,10.81,215
7/19/2016,10.785,196
7/18/2016,10.76,250
7/15/2016,10.52,186
7/14/2016,10.375,1
7/13/2016,10.485,0
7/12/2016,10.735,0
7/11/2016,10.75,0
7/8/2016,10.69,0
7/7/2016,10.97,0
7/6/2016,10.565,0
7/5/2016,10.285,41
7/1/2016,10.365,42
6/30/2016,10.505,104
6/29/2016,10.645,616
6/28/2016,10.675,577
6/27/2016,10.845,548
6/24/2016,10.76,740
6/23/2016,10.81,788
6/22/2016,10.985,1232
6/21/2016,11.03,617
6/20/2016,11.105,554
6/17/2016,11.295,598
6/16/2016,11.31,549
6/15/2016,11.615,838
6/14/2016,11.295,1168
6/13/2016,11.315,325
6/10/2016,11.355,397
6/9/2016,11.32,1399
6/8/2016,11.53,630
6/7/2016,11.74,1006
6/6/2016,11.705,1166
6/3/2016,11.37,853
6/2/2016,11.37,1104
6/1/2016,10.995,718
5/31/2016,10.94,761
5/27/2016,10.765,1087
5/26/2016,11.06,589
5/25/2016,11.235,719
5/24/2016,11.57,487
5/23/2016,11.615,403
5/20/2016,11.77,400
